product_id,product_name,product_code,link_to_product,category_id,color,size,material,original_price,discounted_price,stock_quantity,manufacturing_date,warranty_period,description
211,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-27.V2,RD-RL-27.V2 5W LED00038680-XA04HV01,https://static.rangdongstore.vn/2204005476/2022/04/11/den-ban-led-bao-ve-thi-luc-rd-rl-27-v2-5w-3000k-jt0.jpeg?fm=webp&w=500,14,,,,246000,172000.0,,,,"Điện áp danh định: 220V/50Hz | Công suất:  5W | Độ rọi trung bình: 700 lux | Điện áp có thể hoạt động: (150 - 250)V | Dòng điện (Max): 0.043 A | Hệ số công suất: 0,5 | Màu ánh sáng:  Trắng/Vàng | Hệ số trả màu (CRI): 80.0 | Tuổi thọ đèn: 20.000 giờ | Số chu kỳ tắt bật: 50.000 lần | Chiều cao: (460±20) mm | Khối lượng: (690±50) g | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
212,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-27.V2,RD-RL-27.V2 5W LED00038680-HO02HV01,https://static.rangdongstore.vn/2204005476/2022/04/11/den-ban-led-bao-ve-thi-luc-rd-rl-27-v2-5w-3000k-jt0.jpeg?fm=webp&w=500,14,,,,246000,172000.0,,,,"Điện áp danh định: 220V/50Hz | Công suất:  5W | Độ rọi trung bình: 700 lux | Điện áp có thể hoạt động: (150 - 250)V | Dòng điện (Max): 0.043 A | Hệ số công suất: 0,5 | Màu ánh sáng:  Trắng/Vàng | Hệ số trả màu (CRI): 80.0 | Tuổi thọ đèn: 20.000 giờ | Số chu kỳ tắt bật: 50.000 lần | Chiều cao: (460±20) mm | Khối lượng: (690±50) g | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
213,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-27.V2,RD-RL-27.V2 5W LED00038679-DO01HV01,https://static.rangdongstore.vn/product/den-ban/RD-RL-27.V2-5W/2.RD-RL-27.V2-5W.jpg?fm=webp&w=500,14,,,,246000,172000.0,,,,"Điện áp danh định: 220V/50Hz | Công suất:  5W | Độ rọi trung bình: 700 lux | Điện áp có thể hoạt động: (150 - 250)V | Dòng điện (Max): 0.043 A | Hệ số công suất: 0,5 | Màu ánh sáng:  Trắng/Vàng | Hệ số trả màu (CRI): 80.0 | Tuổi thọ đèn: 20.000 giờ | Số chu kỳ tắt bật: 50.000 lần | Chiều cao: (460±20) mm | Khối lượng: (690±50) g | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
214,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-32,RD-RL-32 5W LED00025507-TR0300,https://static.rangdongstore.vn/product/den-ban/RD-RL-32/RD-RL-32-1.jpg?fm=webp&w=500,14,,,,255000,179000.0,,,,"Công suất:  5W | Độ rọi trung bình: >500 lux | Điện áp có thể hoạt động: 150V – 250V | Dòng điện (Max): 43 mA | Hệ số công suất: 0.48 | Hệ số trả màu (CRI): 75.0 | Số chu kỳ tắt bật: 50.000 lần | Nguồn điện danh định: 220V/50Hz | Độ rọi trung bình trên mặt bàn: >700 lux | Tuổi thọ của đèn: 20000 giờ  | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn:  < 0,5 giây | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
215,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-32,RD-RL-32 5W LED00025507-TR0200,https://static.rangdongstore.vn/product/den-ban/RD-RL-32/RD-RL-32-1.jpg?fm=webp&w=500,14,,,,255000,179000.0,,,,"Công suất:  5W | Độ rọi trung bình: >500 lux | Điện áp có thể hoạt động: 150V – 250V | Dòng điện (Max): 43 mA | Hệ số công suất: 0.48 | Hệ số trả màu (CRI): 75.0 | Số chu kỳ tắt bật: 50.000 lần | Nguồn điện danh định: 220V/50Hz | Độ rọi trung bình trên mặt bàn: >700 lux | Tuổi thọ của đèn: 20000 giờ  | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn:  < 0,5 giây | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
216,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-32,RD-RL-32 5W LED00025506-TR0100,https://static.rangdongstore.vn/product/den-ban/RD-RL-32/RD-RL-32-1.jpg?fm=webp&w=500,14,,,,255000,179000.0,,,,"Công suất:  5W | Độ rọi trung bình: >500 lux | Điện áp có thể hoạt động: 150V – 250V | Dòng điện (Max): 43 mA | Hệ số công suất: 0.48 | Hệ số trả màu (CRI): 75.0 | Số chu kỳ tắt bật: 50.000 lần | Nguồn điện danh định: 220V/50Hz | Độ rọi trung bình trên mặt bàn: >700 lux | Tuổi thọ của đèn: 20000 giờ  | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn:  < 0,5 giây | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
217,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-32,RD-RL-32 5W LED00025507-TR0100,https://static.rangdongstore.vn/product/den-ban/RD-RL-32/RD-RL-32-1.jpg?fm=webp&w=500,14,,,,255000,179000.0,,,,"Công suất:  5W | Độ rọi trung bình: >500 lux | Điện áp có thể hoạt động: 150V – 250V | Dòng điện (Max): 43 mA | Hệ số công suất: 0.48 | Hệ số trả màu (CRI): 75.0 | Số chu kỳ tắt bật: 50.000 lần | Nguồn điện danh định: 220V/50Hz | Độ rọi trung bình trên mặt bàn: >700 lux | Tuổi thọ của đèn: 20000 giờ  | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn:  < 0,5 giây | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
218,ĐÈN LED BÀN HỌC CẢM ỨNG 6W RD-RL-41,RD-RL-41 6W LED00043388-XA0100,https://static.rangdongstore.vn/product/Den-LED/LED_Den_ban/RD_RL_41/Anh-web-RD-RL-41-1.jpg?fm=webp&w=500,14,,,,402000,281000.0,,,,"Công suất: 6W | Độ rọi trung bình: >700 lux | Điện áp có thể hoạt động: (150 – 250)V | Dòng điện (Max): 0.08 A | Hệ số công suất: 0.5 | Hệ số trả màu (CRI): 80.0 | Số chu kỳ tắt bật: 50.000 lần | Nguồn điện danh định: 220V/50Hz | Tuổi thọ của đèn: 25.000 giờ  | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn:  < 0,5 giây | Nhiệt độ màu: 3000K - 6500K | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
219,ĐÈN LED BÀN HỌC CẢM ỨNG 6W RD-RL-41,RD-RL-41 6W LED00043388-CA0100,https://static.rangdongstore.vn/product/Den-LED/LED_Den_ban/RD_RL_41/Anh-web-RD-RL-41-2.jpg?fm=webp&w=500,14,,,,402000,281000.0,,,,"Công suất: 6W | Độ rọi trung bình: >700 lux | Điện áp có thể hoạt động: (150 – 250)V | Dòng điện (Max): 0.08 A | Hệ số công suất: 0.5 | Hệ số trả màu (CRI): 80.0 | Số chu kỳ tắt bật: 50.000 lần | Nguồn điện danh định: 220V/50Hz | Tuổi thọ của đèn: 25.000 giờ  | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn:  < 0,5 giây | Nhiệt độ màu: 3000K - 6500K | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
220,ĐÈN LED BÀN HỌC CẢM ỨNG 6W RD-RL-41,RD-RL-41 6W LED00043388-HO0100,https://static.rangdongstore.vn/product/Den-LED/LED_Den_ban/RD_RL_41/Anh-web-RD-RL-41.jpg?fm=webp&w=500,14,,,,402000,281000.0,,,,"Công suất: 6W | Độ rọi trung bình: >700 lux | Điện áp có thể hoạt động: (150 – 250)V | Dòng điện (Max): 0.08 A | Hệ số công suất: 0.5 | Hệ số trả màu (CRI): 80.0 | Số chu kỳ tắt bật: 50.000 lần | Nguồn điện danh định: 220V/50Hz | Tuổi thọ của đèn: 25.000 giờ  | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn:  < 0,5 giây | Nhiệt độ màu: 3000K - 6500K | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
221,ĐÈN LED BÀN HỌC CẢM ỨNG 6W RD-RL-41,RD-RL-41 6W LED00043388-DO0100,https://static.rangdongstore.vn/product/Den-LED/LED_Den_ban/RD_RL_41/Anh-web-RD-RL-41-3.jpg?fm=webp&w=500,14,,,,402000,281000.0,,,,"Công suất: 6W | Độ rọi trung bình: >700 lux | Điện áp có thể hoạt động: (150 – 250)V | Dòng điện (Max): 0.08 A | Hệ số công suất: 0.5 | Hệ số trả màu (CRI): 80.0 | Số chu kỳ tắt bật: 50.000 lần | Nguồn điện danh định: 220V/50Hz | Tuổi thọ của đèn: 25.000 giờ  | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn:  < 0,5 giây | Nhiệt độ màu: 3000K - 6500K | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
222,ĐÈN LED BÀN HỌC CHỐNG CẬN 8W RD-RL-40 (OC-OB),RD-RL-40 8W (OC-OB) LED00038286-XA0100,https://static.rangdongstore.vn/product/den-ban/RD-RL-40-OB/4.RD-RL-40-OB.jpg?fm=webp&w=500,14,,,,488000,342000.0,,,,Điện áp danh định: 220V/50Hz | Công suất:  8W | Độ rọi trung bình: 900 lux | Điện áp có thể hoạt động: 150V – 250V | Dòng điện (Max): 0.1 A | Hệ số công suất: 0.5 | Nguồn điện danh định: 220V/50Hz | Tuổi thọ của đèn: 20.000 giờ | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn: 0.5 giây | Nhiệt độ màu:  3000/4000/6500 K | Quang thông:  380 lm | Tuổi thọ: 20.000 giờ | số chu kỳ tắt bật: 50.000 lần | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K
223,ĐÈN LED BÀN HỌC CHỐNG CẬN 8W RD-RL-40 (OC-OB),RD-RL-40 8W (OC-OB) LED00038286-HO0100,https://static.rangdongstore.vn/product/den-ban/RD-RL-40-OB/12.RD-RL-40-OB.jpg?fm=webp&w=500,14,,,,488000,342000.0,,,,Điện áp danh định: 220V/50Hz | Công suất:  8W | Độ rọi trung bình: 900 lux | Điện áp có thể hoạt động: 150V – 250V | Dòng điện (Max): 0.1 A | Hệ số công suất: 0.5 | Nguồn điện danh định: 220V/50Hz | Tuổi thọ của đèn: 20.000 giờ | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn: 0.5 giây | Nhiệt độ màu:  3000/4000/6500 K | Quang thông:  380 lm | Tuổi thọ: 20.000 giờ | số chu kỳ tắt bật: 50.000 lần | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K
224,ĐÈN LED BÀN HỌC CHỐNG CẬN 8W RD-RL-40 (OC-OB),RD-RL-40 8W (OC-OB) LED00038285-XA0100,https://static.rangdongstore.vn/product/den-ban/RD-RL-40-OB/4.RD-RL-40-OB.jpg?fm=webp&w=500,14,,,,488000,342000.0,,,,Điện áp danh định: 220V/50Hz | Công suất:  8W | Độ rọi trung bình: 900 lux | Điện áp có thể hoạt động: 150V – 250V | Dòng điện (Max): 0.1 A | Hệ số công suất: 0.5 | Nguồn điện danh định: 220V/50Hz | Tuổi thọ của đèn: 20.000 giờ | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn: 0.5 giây | Nhiệt độ màu:  3000/4000/6500 K | Quang thông:  380 lm | Tuổi thọ: 20.000 giờ | số chu kỳ tắt bật: 50.000 lần | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K
225,ĐÈN LED BÀN HỌC CHỐNG CẬN 8W RD-RL-40 (OC-OB),RD-RL-40 8W (OC-OB) LED00038285-HO0100,https://static.rangdongstore.vn/product/den-ban/RD-RL-40-OB/10.RD-RL-40-OB.jpg?fm=webp&w=500,14,,,,488000,342000.0,,,,Điện áp danh định: 220V/50Hz | Công suất:  8W | Độ rọi trung bình: 900 lux | Điện áp có thể hoạt động: 150V – 250V | Dòng điện (Max): 0.1 A | Hệ số công suất: 0.5 | Nguồn điện danh định: 220V/50Hz | Tuổi thọ của đèn: 20.000 giờ | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn: 0.5 giây | Nhiệt độ màu:  3000/4000/6500 K | Quang thông:  380 lm | Tuổi thọ: 20.000 giờ | số chu kỳ tắt bật: 50.000 lần | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K
226,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-01.V2,RD-RL-01.V2 5W LED00042017-DO0200,https://static.rangdongstore.vn/product/den-ban/RD-RL-01.V2/RD-RL-27.V2-1.jpg?fm=webp&w=500,14,,,,229000,160000.0,,,,"Điện áp danh định: 220V/50Hz | Công suất:  5W | Độ rọi trung bình: 700 lux | Điện áp có thể hoạt động: (150 - 250)V | Dòng điện (Max): 0.07 A | Hệ số công suất: 0,5 | Màu ánh sáng:  3000K/6500K | Hệ số trả màu (CRI): 80.0 | Tuổi thọ đèn: 20.000 giờ | Số chu kỳ tắt bật: 50.000 lần | Chiều cao: (460±20) mm | Khối lượng: (780±50) g | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
227,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-01.V2,RD-RL-01.V2 5W LED00042017-DO0100,https://static.rangdongstore.vn/product/den-ban/RD-RL-01.V2/RD-RL-27.V2-1.jpg?fm=webp&w=500,14,,,,229000,160000.0,,,,"Điện áp danh định: 220V/50Hz | Công suất:  5W | Độ rọi trung bình: 700 lux | Điện áp có thể hoạt động: (150 - 250)V | Dòng điện (Max): 0.07 A | Hệ số công suất: 0,5 | Màu ánh sáng:  3000K/6500K | Hệ số trả màu (CRI): 80.0 | Tuổi thọ đèn: 20.000 giờ | Số chu kỳ tắt bật: 50.000 lần | Chiều cao: (460±20) mm | Khối lượng: (780±50) g | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
228,ĐÈN LED BÀN HỌC CHỐNG CẬN 5W RD-RL-01.V2,RD-RL-01.V2 5W LED00042017-XA0200,https://static.rangdongstore.vn/product/den-ban/RD-RL-01.V2/RD-RL-27.V2-5.jpg?fm=webp&w=500,14,,,,229000,160000.0,,,,"Điện áp danh định: 220V/50Hz | Công suất:  5W | Độ rọi trung bình: 700 lux | Điện áp có thể hoạt động: (150 - 250)V | Dòng điện (Max): 0.07 A | Hệ số công suất: 0,5 | Màu ánh sáng:  3000K/6500K | Hệ số trả màu (CRI): 80.0 | Tuổi thọ đèn: 20.000 giờ | Số chu kỳ tắt bật: 50.000 lần | Chiều cao: (460±20) mm | Khối lượng: (780±50) g | Màu sắc: Hồng | Hoa Văn: Bò Mery Cow | Ánh sáng: Ánh sáng trắng 6500K"
